"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0006807","nitrogen compound metabolic process","BP",9129,593,1835,0.999999928500151,2.48785287895929e-88
"GO:0044238","primary metabolic process","BP",9719,641,1910,0.999999774015442,1.64900072910212e-84
"GO:0008152","metabolic process","BP",10950,742,2067,0.999998009685558,1.82378024692824e-78
"GO:0044237","cellular metabolic process","BP",9508,657,1851,0.999632318803047,2.2808161760362e-75
"GO:0071704","organic substance metabolic process","BP",10549,720,1999,0.999985333662428,9.04952670882152e-75
