"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu04141","Protein processing in endoplasmic reticulum",165,19,50,0.502564205782813,6.19772326820869e-16
"mmu04974","Protein digestion and absorption",100,8,28,0.890509590596039,1.07364696972537e-08
"mmu04926","Relaxin signaling pathway",125,23,30,0.0125397295278759,1.48446017635478e-07
"mmu04010","MAPK signaling pathway",297,63,30,5.58781477072703e-07,0.188104655208738
"mmu04360","Axon guidance",180,38,34,0.000102278325436963,8.21096319809126e-06
