"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"10351131",-3.934885877285,8.37880298055355,-19.5423375991613,2.20245646716221e-07,0.00368018247039157,7.32826808894373,"Myoc"
"10600131",3.90688874895373,6.67788861866688,6.75249170261295,0.000260192475915667,0.0101351590136895,0.963697600146729,"Xlr4b"
"10353219",-3.44979691137982,8.74834271835068,-5.83163572991505,0.000633979869093656,0.0152611774582379,0.0371557013412724,"Sumo2"
"10441539",-3.37792350336581,8.65786528866643,-6.29764674083112,0.00039915627986197,0.0124343632304619,0.519935514498108,"Rnaset2b"
"10481868",-3.22674023303476,9.3813438065038,-6.48906613146265,0.000332461680682431,0.011544823197324,0.709889967460394,"Dnajb6"
"10518167",-3.21228584497127,6.95599473120334,-13.3906196574868,2.94370410620628e-06,0.00368018247039157,5.29245200335325,"Trappc2"
"10602307",3.1765493444267,7.13356707756303,6.59422728296052,0.000301205054797182,0.0110042143326564,0.812251800735295,"Gm15093"
"10403978",3.06508515565455,9.17999700696753,7.40666471212448,0.00014594013785659,0.00829572851080183,1.55799802993085,"H2bc12"
"10514173",-2.93322623738411,7.42109261956531,-4.93929934125766,0.00165896142027458,0.0235822921571622,-0.973384257787901,"Rpl34"
"10497265",-2.88021753076283,7.35608476167683,-15.3279105326593,1.17165260072671e-06,0.00368018247039157,6.06748884681594,"Fabp4"
